Algorithm | Seconds | Milliseconds | Nanoseconds | Path | Cost
NearestNeighbor | 0,000004 | 0,003600 | 3600,000000 | 9,2,6,8,7,1,0,5,3,4 | 1436
NearestNeighbor | 0,000004 | 0,003600 | 3600,000000 | 9,1,0,8,2,3,4,6,5,7 | 851
NearestNeighbor | 0,000004 | 0,003600 | 3600,000000 | 3,1,0,7,6,8,2,5,9,4 | 1366
NearestNeighbor | 0,000004 | 0,003700 | 3700,000000 | 3,7,0,1,6,9,5,4,2,8 | 1663
NearestNeighbor | 0,000004 | 0,003600 | 3600,000000 | 3,9,2,0,7,1,4,8,5,6 | 1274
NearestNeighbor | 0,000011 | 0,011000 | 11000,000000 | 6,8,4,0,3,9,7,2,5,1 | 1198
NearestNeighbor | 0,000004 | 0,003700 | 3700,000000 | 6,7,9,8,3,1,4,0,5,2 | 894
NearestNeighbor | 0,000006 | 0,006400 | 6400,000000 | 9,3,7,4,5,2,8,0,1,6 | 941
NearestNeighbor | 0,000005 | 0,005500 | 5500,000000 | 9,7,8,4,6,0,2,3,5,1 | 1283
NearestNeighbor | 0,000006 | 0,006000 | 6000,000000 | 9,3,5,1,2,4,6,8,0,7 | 886
NearestNeighbor | 0,000011 | 0,010700 | 10700,000000 | 3,8,9,5,6,7,1,2,0,4 | 1569
NearestNeighbor | 0,000008 | 0,008500 | 8500,000000 | 3,9,2,7,6,0,5,4,8,1 | 1229
NearestNeighbor | 0,000005 | 0,005000 | 5000,000000 | 6,3,8,9,4,1,7,0,2,5 | 1487
NearestNeighbor | 0,000005 | 0,005000 | 5000,000000 | 6,8,2,3,0,4,9,7,5,1 | 1474
NearestNeighbor | 0,000003 | 0,003400 | 3400,000000 | 6,9,7,3,8,4,0,5,1,2 | 1069
NearestNeighbor | 0,000003 | 0,003100 | 3100,000000 | 9,7,3,4,5,6,0,8,2,1 | 1179
NearestNeighbor | 0,000006 | 0,006000 | 6000,000000 | 9,4,6,8,7,1,5,3,0,2 | 1522
NearestNeighbor | 0,000003 | 0,003400 | 3400,000000 | 2,9,4,1,6,8,0,5,7,3 | 765
NearestNeighbor | 0,000005 | 0,005500 | 5500,000000 | 2,5,6,3,8,0,4,9,1,7 | 890
NearestNeighbor | 0,000003 | 0,003300 | 3300,000000 | 2,7,5,8,3,6,4,0,1,9 | 864
NearestNeighbor | 0,000003 | 0,003300 | 3300,000000 | 6,5,3,0,4,7,2,8,1,9 | 1632
NearestNeighbor | 0,000003 | 0,003200 | 3200,000000 | 6,4,7,1,3,0,8,9,5,2 | 972
NearestNeighbor | 0,000003 | 0,003200 | 3200,000000 | 6,1,0,8,9,4,7,3,2,5 | 1596
NearestNeighbor | 0,000005 | 0,004900 | 4900,000000 | 9,6,5,2,7,0,4,1,3,8 | 1103
NearestNeighbor | 0,000005 | 0,005200 | 5200,000000 | 9,1,3,7,8,5,2,6,4,0 | 1401
NearestNeighbor | 0,000010 | 0,010200 | 10200,000000 | 2,5,8,9,1,4,6,7,3,0 | 1122
NearestNeighbor | 0,000005 | 0,005400 | 5400,000000 | 2,1,6,9,0,8,5,3,4,7 | 1494
NearestNeighbor | 0,000003 | 0,003400 | 3400,000000 | 2,8,9,4,1,5,3,7,0,6 | 1330
NearestNeighbor | 0,000003 | 0,003300 | 3300,000000 | 5,0,4,7,8,9,1,3,2,6 | 1113
NearestNeighbor | 0,000003 | 0,003400 | 3400,000000 | 5,6,9,3,7,8,1,4,2,0 | 1073
NearestNeighbor | 0,000006 | 0,005800 | 5800,000000 | 9,3,7,8,0,1,6,4,2,5 | 1111
NearestNeighbor | 0,000003 | 0,003400 | 3400,000000 | 9,4,1,2,3,0,7,5,6,8 | 792
NearestNeighbor | 0,000003 | 0,003300 | 3300,000000 | 9,4,1,7,2,3,6,5,8,0 | 1249
NearestNeighbor | 0,000003 | 0,003100 | 3100,000000 | 2,1,9,0,4,5,3,6,8,7 | 1275
NearestNeighbor | 0,000003 | 0,003300 | 3300,000000 | 2,3,0,6,4,9,7,8,1,5 | 764
NearestNeighbor | 0,000007 | 0,006900 | 6900,000000 | 2,7,6,4,5,8,0,1,9,3 | 1082
NearestNeighbor | 0,000003 | 0,003400 | 3400,000000 | 5,4,7,2,0,6,9,3,1,8 | 1028
NearestNeighbor | 0,000003 | 0,003200 | 3200,000000 | 5,0,6,3,2,7,1,4,8,9 | 1002
NearestNeighbor | 0,000028 | 0,028100 | 28100,000000 | 5,0,6,4,1,2,8,3,9,7 | 1191
NearestNeighbor | 0,000003 | 0,003300 | 3300,000000 | 8,5,9,0,6,2,3,7,1,4 | 1499
NearestNeighbor | 0,000003 | 0,003300 | 3300,000000 | 8,3,9,4,6,1,7,0,2,5 | 1018
NearestNeighbor | 0,000003 | 0,003200 | 3200,000000 | 2,4,0,9,7,6,3,5,8,1 | 1582
