Algorithm | Seconds | Milliseconds | Nanoseconds | Path | Cost
BruteForce | 0,313635 | 313,635000 | 313635000,000000 | 0,9,8,7,1,5,6,4,3,2 | 615
BruteForce | 0,294240 | 294,239600 | 294239600,000000 | 0,1,8,2,6,5,7,4,3,9 | 591
BruteForce | 0,330363 | 330,363200 | 330363200,000000 | 0,5,9,1,6,3,8,4,2,7 | 564
BruteForce | 0,314032 | 314,032500 | 314032500,000000 | 0,6,9,5,2,4,7,3,1,8 | 899
BruteForce | 0,310135 | 310,135400 | 310135400,000000 | 0,5,7,8,6,9,1,2,3,4 | 875
BruteForce | 0,305544 | 305,543600 | 305543600,000000 | 0,2,1,7,5,4,3,8,9,6 | 1377
BruteForce | 0,297637 | 297,636700 | 297636700,000000 | 0,4,1,8,3,7,5,9,2,6 | 609
BruteForce | 0,296967 | 296,967500 | 296967500,000000 | 0,1,5,3,4,6,7,8,9,2 | 1118
BruteForce | 0,337371 | 337,371100 | 337371100,000000 | 0,1,8,3,5,2,6,7,9,4 | 678
BruteForce | 0,302982 | 302,982100 | 302982100,000000 | 0,2,9,4,1,7,5,3,6,8 | 653
BruteForce | 0,305163 | 305,162700 | 305162700,000000 | 0,6,5,2,8,4,3,9,7,1 | 878
BruteForce | 0,312357 | 312,357100 | 312357100,000000 | 0,7,4,5,1,9,3,8,2,6 | 855
BruteForce | 0,288372 | 288,372200 | 288372200,000000 | 0,3,2,5,9,7,8,4,6,1 | 687
BruteForce | 0,451778 | 451,777900 | 451777900,000000 | 0,5,4,7,3,9,2,1,8,6 | 803
BruteForce | 0,452399 | 452,399200 | 452399200,000000 | 0,6,5,1,7,9,8,4,3,2 | 885
BruteForce | 0,650720 | 650,720200 | 650720200,000000 | 0,2,1,4,3,7,6,8,5,9 | 906
BruteForce | 0,415764 | 415,763800 | 415763800,000000 | 0,2,6,9,4,3,1,5,7,8 | 750
BruteForce | 0,463888 | 463,887900 | 463887900,000000 | 0,2,3,6,1,7,8,5,9,4 | 823
BruteForce | 0,441083 | 441,083300 | 441083300,000000 | 0,7,8,5,6,9,1,3,2,4 | 734
BruteForce | 0,461094 | 461,093800 | 461093800,000000 | 0,9,6,4,7,8,2,1,5,3 | 1085
BruteForce | 0,306810 | 306,810000 | 306810000,000000 | 0,1,7,5,4,3,6,2,9,8 | 633
BruteForce | 0,306770 | 306,769800 | 306769800,000000 | 0,5,6,8,1,4,3,2,9,7 | 692
BruteForce | 0,326962 | 326,962300 | 326962300,000000 | 0,3,9,8,4,1,6,5,2,7 | 837
BruteForce | 0,303550 | 303,550000 | 303550000,000000 | 0,3,6,2,8,9,4,5,7,1 | 1050
BruteForce | 0,310055 | 310,054700 | 310054700,000000 | 0,2,8,4,3,5,1,6,7,9 | 530
BruteForce | 0,379378 | 379,378400 | 379378400,000000 | 0,9,8,2,1,4,5,6,7,3 | 772
BruteForce | 0,336085 | 336,085500 | 336085500,000000 | 0,3,2,6,5,7,4,9,8,1 | 629
BruteForce | 0,331096 | 331,096200 | 331096200,000000 | 0,9,7,8,3,5,6,1,4,2 | 813
BruteForce | 0,302085 | 302,084700 | 302084700,000000 | 0,8,7,2,5,9,1,6,3,4 | 817
BruteForce | 0,299158 | 299,158400 | 299158400,000000 | 0,4,9,6,5,2,7,3,8,1 | 549
BruteForce | 0,335803 | 335,803500 | 335803500,000000 | 0,2,7,9,6,3,5,4,8,1 | 696
BruteForce | 0,354499 | 354,499400 | 354499400,000000 | 0,3,9,8,4,7,5,6,2,1 | 808
BruteForce | 0,309387 | 309,386900 | 309386900,000000 | 0,2,7,6,3,8,1,5,4,9 | 834
BruteForce | 0,344405 | 344,405200 | 344405200,000000 | 0,7,9,3,6,2,1,4,5,8 | 417
BruteForce | 0,301394 | 301,393900 | 301393900,000000 | 0,3,1,8,5,6,9,2,4,7 | 859
BruteForce | 0,315252 | 315,251900 | 315251900,000000 | 0,9,5,7,1,8,2,6,3,4 | 912
BruteForce | 0,322471 | 322,471200 | 322471200,000000 | 0,3,6,7,8,5,1,4,9,2 | 536
BruteForce | 0,303121 | 303,120800 | 303120800,000000 | 0,3,5,9,7,6,8,4,2,1 | 1122
BruteForce | 0,355488 | 355,488500 | 355488500,000000 | 0,4,5,1,9,6,2,8,7,3 | 651
BruteForce | 0,327690 | 327,689700 | 327689700,000000 | 0,2,8,9,1,7,4,3,6,5 | 618
BruteForce | 0,304726 | 304,725900 | 304725900,000000 | 0,2,8,7,4,1,6,9,3,5 | 750
BruteForce | 0,331572 | 331,571500 | 331571500,000000 | 0,3,6,2,1,5,7,4,8,9 | 847
BruteForce | 0,029978 | 29,977700 | 29977700,000000 | 0,2,1,7,4,6,5,8,3 | 915
BruteForce | 0,028818 | 28,817600 | 28817600,000000 | 0,3,5,6,2,4,1,7,8 | 616
BruteForce | 0,034365 | 34,365000 | 34365000,000000 | 0,7,3,1,5,6,4,2,8 | 1058
BruteForce | 0,029914 | 29,913600 | 29913600,000000 | 0,7,5,4,3,8,2,1,6 | 934
BruteForce | 0,029520 | 29,520200 | 29520200,000000 | 0,6,7,3,8,4,1,5,2 | 805
BruteForce | 0,033849 | 33,849300 | 33849300,000000 | 0,2,1,7,4,6,8,5,3 | 924
BruteForce | 0,033271 | 33,270800 | 33270800,000000 | 0,4,3,8,2,7,1,6,5 | 828
BruteForce | 0,031083 | 31,082800 | 31082800,000000 | 0,3,8,2,1,6,5,7,4 | 655
BruteForce | 0,034444 | 34,443900 | 34443900,000000 | 0,8,6,3,5,7,2,4,1 | 464
BruteForce | 0,033331 | 33,331100 | 33331100,000000 | 0,4,5,6,3,7,8,2,1 | 708
BruteForce | 0,031750 | 31,750400 | 31750400,000000 | 0,4,5,6,1,3,2,7,8 | 819
BruteForce | 0,033469 | 33,469400 | 33469400,000000 | 0,7,1,4,3,2,5,6,8 | 627
