Algorithm | Seconds | Milliseconds | Nanoseconds | Path | Cost
Random | 0,012879 | 12,879000 | 12879000,000000 | 0,5,3,2,6,8,4,1,7,9 | 769
Random | 0,013153 | 13,152900 | 13152900,000000 | 5,7,2,8,6,0,9,1,3,4 | 786
Random | 0,013123 | 13,123000 | 13123000,000000 | 3,1,0,7,6,4,8,2,5,9 | 824
Random | 0,013071 | 13,070900 | 13070900,000000 | 7,0,5,1,3,4,2,8,6,9 | 1032
Random | 0,013221 | 13,221200 | 13221200,000000 | 2,0,1,5,6,7,9,4,8,3 | 764
Random | 0,012986 | 12,985800 | 12985800,000000 | 8,3,6,9,1,7,2,5,4,0 | 766
Random | 0,013434 | 13,433600 | 13433600,000000 | 8,2,5,0,1,7,3,9,6,4 | 947
Random | 0,027281 | 27,281400 | 27281400,000000 | 7,4,8,5,2,1,6,9,0,3 | 1012
Random | 0,012993 | 12,993200 | 12993200,000000 | 2,7,9,5,1,3,6,0,8,4 | 1099
Random | 0,015651 | 15,651200 | 15651200,000000 | 4,6,8,9,3,0,1,7,5,2 | 685
Random | 0,012925 | 12,924500 | 12924500,000000 | 8,4,2,9,5,0,6,7,1,3 | 691
Random | 0,013084 | 13,083900 | 13083900,000000 | 5,4,3,9,6,2,1,8,7,0 | 941
Random | 0,013118 | 13,118500 | 13118500,000000 | 9,5,0,3,4,8,7,6,2,1 | 1021
Random | 0,013078 | 13,077700 | 13077700,000000 | 2,5,0,3,7,4,9,1,6,8 | 892
Random | 0,013364 | 13,364200 | 13364200,000000 | 7,9,1,2,3,6,8,4,0,5 | 770
Random | 0,013124 | 13,124000 | 13124000,000000 | 3,4,5,1,0,6,2,9,7,8 | 675
Random | 0,023999 | 23,999500 | 23999500,000000 | 1,8,2,7,6,0,3,9,4,5 | 1112
Random | 0,013158 | 13,157800 | 13157800,000000 | 5,3,7,8,0,2,9,4,1,6 | 877
Random | 0,017852 | 17,852000 | 17852000,000000 | 4,9,1,2,7,5,6,3,8,0 | 718
Random | 0,013053 | 13,052700 | 13052700,000000 | 2,7,5,8,0,4,3,6,1,9 | 1040
Random | 0,013088 | 13,088400 | 13088400,000000 | 7,2,4,9,8,1,0,6,5,3 | 652
Random | 0,013115 | 13,114600 | 13114600,000000 | 8,9,5,6,4,7,1,3,2,0 | 727
Random | 0,013720 | 13,720200 | 13720200,000000 | 5,1,2,8,9,0,6,7,3,4 | 1046
Random | 0,013063 | 13,063100 | 13063100,000000 | 9,6,8,2,1,7,4,0,3,5 | 808
Random | 0,012966 | 12,966200 | 12966200,000000 | 1,3,7,8,9,5,0,6,4,2 | 899
Random | 0,013003 | 13,002700 | 13002700,000000 | 4,6,3,7,2,5,8,9,0,1 | 556
Random | 0,013022 | 13,022200 | 13022200,000000 | 7,0,2,6,9,3,5,1,4,8 | 1287
Random | 0,012974 | 12,974200 | 12974200,000000 | 2,7,0,5,3,1,6,8,9,4 | 932
Random | 0,013010 | 13,010100 | 13010100,000000 | 8,9,1,0,2,6,5,3,4,7 | 948
Random | 0,012959 | 12,958800 | 12958800,000000 | 9,2,0,8,5,6,1,3,7,4 | 751
Random | 0,013171 | 13,171400 | 13171400,000000 | 8,5,9,4,2,6,7,3,1,0 | 1233
Random | 0,013079 | 13,079000 | 13079000,000000 | 8,6,1,2,3,4,5,0,7,9 | 770
Random | 0,013203 | 13,202900 | 13202900,000000 | 5,9,4,1,0,3,6,7,2,8 | 1047
Random | 0,013008 | 13,008100 | 13008100,000000 | 5,3,6,1,8,9,0,4,2,7 | 978
Random | 0,014217 | 14,217500 | 14217500,000000 | 4,2,3,1,5,9,7,8,6,0 | 787
Random | 0,022140 | 22,139700 | 22139700,000000 | 7,3,1,6,4,5,8,9,2,0 | 981
Random | 0,013850 | 13,850400 | 13850400,000000 | 6,7,3,2,8,5,4,1,9,0 | 1119
Random | 0,013062 | 13,062000 | 13062000,000000 | 1,5,0,6,3,7,4,8,9,2 | 1013
Random | 0,019187 | 19,187200 | 19187200,000000 | 8,1,4,7,0,6,3,9,5,2 | 933
Random | 0,013077 | 13,077300 | 13077300,000000 | 4,7,1,0,6,2,3,8,9,5 | 1030
Random | 0,013188 | 13,187700 | 13187700,000000 | 0,2,4,6,1,9,5,7,8,3 | 793
